	abs_sum
FabR	3.4551926237295127
AgaR	3.454695315535208
PurR	3.3924511756813964
MetR	3.3904955633055973
LiuR	3.343587263652133
GulR	3.198014503654948
GntR	3.179996770099677
FUR	3.1603275230192978
KdgR	3.1258784646800377
SahR_SamR	3.040585014658128
NtrC	2.8645282063206507
SiaR	2.8628717412344016
HrcA	2.8531603486365418
NagC	2.781810369877019
IscR	2.730104890083022
NnrR	2.7094458820700926
Irr	2.5492167085417337
MntR	2.536087219695021
NagR	2.5193671015060373
NsrR	2.488976647303515
FadP	2.4838868694591367
Zur	2.453657281887354
ThiR	2.4445650281722076
QorR	2.4259061613148742
PaaR	2.394514653893121
