	FadR	BioQ	AcnR	GulR	PdhR	NikR	RbsR	HcpR	HisR	RbkR	ThiR	AgaR	ArgR	XylR	LldR	PrpR	AmtR	BirA	MntR	NagR	ZntR	Zur	PsrA	SoxR	ModE	Phr	CzrA	IscR	CcpA	FUR	NsrR	PhnF	NrtR	NrdR	KdgR	NagC	MetR	NifA	SahR_SamR	FadP	ExuR_UxuR	HutC	CblR	FixJ	HypR	PurR	GguR	NtrC	MetJ	TyrR	LiuR	LtbR	PhrR	TrpR	AraR	NnrR	CsoR	NiaR	LexA	PhnR	GlcC	MerR	NagQ	PdxR	FabR	Rex	DasR	SiaR	NadQ	HexR	RutR	PaaR	FnrN_FixK	HrcA	CadR-PbrR	PhsR	QorR	SdaR	NorR	TtrR	LiuQ	NmlR	CueR	FruR	Irr	GntR	NarP	VanR
PAR.PC	-0.09924812030075188	-0.2857142857142857	-0.12481203007518797	-0.2721804511278195	0.17142857142857143	0.5639097744360902	0.4075187969924812	0.3368421052631579	0.081203007518797	0.2646616541353383	0.11879699248120301	-0.08571428571428572	-0.081203007518797	0.07067669172932331	0.04962406015037594	-0.07819548872180451	0.48120300751879697	0.4496240601503759	0.3398496240601504	0.33533834586466166	0.3879699248120301	0.3849624060150376	-0.11578947368421053	-0.3669172932330827	-0.10827067669172932	-0.09323308270676692	0.1368421052631579	0.022556390977443608	0.6646616541353384	0.13383458646616542	-0.016541353383458645	-0.039097744360902256	-0.23308270676691728	-0.0481203007518797	0.07368421052631578	0.1518796992481203	0.04962406015037594	0.23458646616541354	0.04661654135338346	0.17593984962406015	0.11428571428571428	-0.02706766917293233	-0.09774436090225563	-0.6030075187969924	0.16691729323308271	0.11578947368421053	-0.26917293233082706	0.03609022556390978	0.5714285714285714	0.4045112781954887	0.3067669172932331	-0.0481203007518797	-0.007518796992481203	-0.07518796992481203	0.23308270676691728	-0.09172932330827067	-0.04962406015037594	0.08721804511278196	-0.15639097744360902	0.21203007518796993	-0.04661654135338346	-0.010526315789473684	-0.021052631578947368	-0.02857142857142857	0.3007518796992481	0.05714285714285714	0.3097744360902256	0.34887218045112783	0.2857142857142857	0.4330827067669173	0.22706766917293233	0.6270676691729323	0.5473684210526316	0.6781954887218045	-0.03308270676691729	0.33383458646616543	0.21654135338345865	-0.010526315789473684	-0.13984962406015036	0.0	-0.20601503759398496	-0.3142857142857143	-0.3007518796992481	-0.11729323308270677	-0.2887218045112782	-0.21954887218045113	-0.1699248120300752	-0.058646616541353384
Latitude	-0.5921245959447546	-0.3798958901809328	-0.4386465723521263	-0.3601234205113136	-0.24684102262709373	-0.20154485537970698	-0.16032072541035222	-0.24060702741278703	-0.10425674824734478	-0.1814365475840645	-0.20232148104613576	-0.22049871961714454	-0.2954745812518366	-0.14617354435162253	-0.13588850174216027	-0.19829142353385668	0.09235548465639562	-0.13496494689559632	-0.13769363166953527	-0.28290164140884094	-0.1927710843373494	-0.3150161622098149	-0.07820830359766592	-0.060828680575962385	-0.15767600016791905	-0.0992821460056253	-0.2240460098232652	-0.09852651022207295	-0.35036312497376265	-0.5013643423869695	-0.3940850510054154	-0.47199949624281096	-0.4090718273792032	-0.39465177784307964	-0.3080475210948323	-0.32148104613576256	-0.5599471054951514	-0.24765962805927544	-0.4141093992695521	-0.3083833592208555	-0.2254313420931111	-0.28900969732588894	-0.01981444943537215	0.05365014063221527	0.24642122496956467	0.2820200663280299	0.44805003988077746	0.3248184375131187	0.0789009697325889	0.20769489106250788	0.21453759288023172	0.23691280802653122	0.08058016036270517	0.08985768859409765	0.1344821795894379	0.2001385332269846	0.2291885311279963	0.06628605012384031	-0.14436841442424753	0.08211242181268628	0.1224129969354771	0.1194744133327736	0.18607531169976071	0.06231896226019059	-0.00608706603417153	0.05451072583014987	-0.12268586541287099	-0.15144200495361235	0.05358717098358591	-0.037236052222828595	-0.09663742076319214	-0.027391797153771883	-0.24595944754628268	-0.06987532009571387	-0.13956173124553964	-0.05400696864111498	-0.13232022165316318	-0.3328365727719239	0.0629486587464842	-0.05896058099995802	-0.020213257210024767	0.03920910121321523	0.021304731119600354	0.014818857310776206	-0.07073590529364847	-0.00816506443894043	-0.06513160656563537	-0.16821292137189875
Carbon.total	-0.3369781182149839	-0.30405001810079607	-0.29029524210373026	-0.3766029880570361	-0.34086835789092174	-0.15224730846045162	-0.23866620411878428	-0.21151788866598975	-0.16447377601339902	-0.30516151515106404	-0.24094477307183357	-0.2961583890438937	-0.3274192435826796	-0.09878430034256352	-0.19556790599464474	-0.07585967368078718	-0.206238277677217	-0.2638971871598666	-0.30088225150753245	-0.32227856972519037	-0.21924279316535195	-0.2767627655167181	-0.3318930192100081	-0.23360889254006512	-0.2120736371911237	-0.09400486302641137	-0.18484195945955909	-0.04704411265259073	-0.48111149820847954	-0.46696769824381995	-0.42478638518615147	-0.4273428284017678	-0.431010768667652	-0.49019798659442	-0.47983327660067143	-0.4768878094174614	-0.627384510023741	-0.39377561748367584	-0.3986106296523414	-0.38202153617709234	-0.44384855959824676	-0.30060437724496547	0.06302188275019242	0.12004168142893795	0.4804445999783188	0.5308509912079701	0.3403126093657878	0.36546023012809997	0.15163598508280426	0.17525529740099807	0.04634942699617327	0.16822507855805333	0.0715526226109989	0.019645710363485912	-0.001945119837968902	0.13235151126065542	0.11284473802845302	-0.014477249079739971	0.18525877085340955	0.1824800282277397	0.10553664492294128	0.23341438055626823	0.04726641206264432	0.14521708961750687	0.117179576524498	-0.16880861450944398	0.12887808297856812	-0.08969781195662307	0.030538381456111763	0.10303577655983841	0.03984716925210579	0.26120180681296684	-0.05060090321344815	-0.060159777845752466	0.16322334183184758	0.025814518992472998	0.09022577305550035	-0.06460576604682425	-0.019979159478566294	-0.0953664469129896	0.0010559221977545468	-0.13396318198354396	0.05229593621510677	0.19387287299298614	-0.18781521406902585	-0.1150121572764755	0.06677318529484673	-0.18575894452603015
Oxygen	-0.30918893577121426	-0.27641819034224097	-0.20949367088607596	-0.16715893108298172	-0.23225503984997656	-0.10283638068448195	-0.160056258790436	-0.16896390060947022	-0.13009845288326302	-0.1322315986872949	-0.10825128926394749	-0.11978434130332864	-0.14613220815752462	-0.03750586029067042	-0.1615799343647445	-0.1263244256915143	-0.09767932489451477	-0.10658696671354899	-0.16279887482419128	-0.14095171120487576	-0.13302859821847163	-0.11872948898265354	-0.21940928270042195	-0.03159868729488983	-0.016736990154711674	-0.07294889826535396	-0.017604313173933427	0.11148616971401781	-0.31828410689170183	-0.42395686826066575	-0.29892170651664324	-0.27913736521331456	-0.296530707923113	-0.5359118612283169	-0.3691514299109236	-0.413666197843413	-0.5643694327238631	-0.4686826066572902	-0.44217065166432257	-0.45963431786216596	-0.3574074074074074	-0.1803328645100797	-0.008837318330989217	0.03541959681200187	0.4421940928270042	0.5660806375996249	0.39974214721050166	0.460196905766526	0.19540553211439288	0.28921706516643225	0.2221753398968589	0.30956399437412097	0.2142991092358181	0.08387248007501172	0.3806141584622597	0.1750351617440225	0.26120487576183776	0.16697140178152836	0.16336146272855134	0.2613220815752461	0.10194561650257852	0.17421472105016408	0.27395686826066573	0.2107594936708861	0.0527191748710736	0.09676511954992968	-0.1750351617440225	-0.12109704641350211	0.0627051101734646	0.1196671354899203	0.026957337083919362	0.21129864041256446	0.09943741209563994	0.11019690576652602	0.3080168776371308	0.08673230192217533	0.15815752461322083	0.120042194092827	-0.04275668073136427	0.011908110642287858	-0.028246601031411158	-0.05121894045944679	0.03839662447257384	0.0809423347398031	-0.0323019221753399	-0.10607126113455227	0.08656821378340365	-0.08523206751054853
ChlorophyllA	-0.22028882078838	-0.05690357247806557	-0.22967129843415474	-0.27282649762814326	-0.22377314134587128	-0.051530162461693466	-0.1294655975819655	0.025943495235296588	-0.016414088409386674	-0.13983459972293355	-0.051173334452793755	-0.08261617900172118	-0.1295495571134713	-0.04059443348306117	-0.14443138407287687	-0.1855925443936023	-0.145270979387935	-0.25108097896813736	-0.23493975903614459	-0.3238948826665547	-0.2134251290877797	-0.22152722387809076	-0.22721548213760967	-0.13595147139078964	-0.1448301918475295	-0.22180009235548465	-0.15771797993367198	-0.06223500272868478	-0.46662608622643886	-0.345472482263549	-0.34274379748961	-0.44706351538558414	-0.31127996305780614	-0.3944418790143151	-0.3187103815960707	-0.3335292389068469	-0.6091893707233114	-0.5448133999412283	-0.4057554258847236	-0.5100961336635742	-0.45140842114101004	-0.3847235632425171	0.2971957516477058	0.18794341127576508	0.41941983963729484	0.5520549095336048	0.2936274715587087	0.31990680492002854	0.008899710339616305	0.07879602031820662	0.11128835901095673	0.15696234415011964	0.08958482011670375	0.16187397674320977	0.23046891398345998	0.19946685697493807	0.2972377314134587	0.1661139330842534	0.18292682926829268	0.21774904496032912	0.13790353049829981	0.12745056882582595	0.3132320221653163	0.18632719029427816	0.22962931866840183	0.08263716888459763	-0.04875949792200159	-0.07260400486965282	0.06511061668275892	0.020423156038789303	0.04493933923848705	0.2641996557659208	-0.031799672557827126	0.03650140632215272	0.21774904496032912	0.10526426262541455	0.11643088031568784	0.018660005877167204	-0.011964233239578523	-0.06825909911422694	-0.02170353889425297	-0.03098106712564544	0.01970950002098988	0.07629822425590865	0.014986776373787834	-0.13614038033667772	0.08849334620712816	0.019289702363460812
Fluorescence	-0.23178086527245953	-0.15653697990175403	-0.21418095290655204	-0.22345559552261118	-0.3034828595653787	-0.1765955245622074	-0.10648798982664226	-0.08394646997763763	-0.07123947930681646	-0.11164868335578802	-0.09577711646426425	-0.141493071406414	-0.21168580627099806	-0.027726556272155794	-0.24615534418265092	-0.18925382944501776	-0.1499765699672975	-0.2618686822631396	-0.22932223297791368	-0.2358704714653675	-0.21623792745000872	-0.24693431679082387	-0.18554153810919358	-0.1254632757038551	-0.06234215154784108	-0.2054175110646064	-0.13400763149975212	0.0003773148570837707	-0.5126004905188065	-0.4677000225258378	-0.3473974403511285	-0.41490028542811536	-0.31941528369191596	-0.5028876758106501	-0.41061593608316416	-0.4361029461068227	-0.618674651147357	-0.5569775862906591	-0.4997839568249611	-0.4099586779450182	-0.4046154127108319	-0.3369299959288045	0.1787985564696965	0.16463099215855104	0.3888412173953298	0.609923380752414	0.35512630919784444	0.356002653382039	0.02715449826302879	0.10845976424108002	0.18213353294843693	0.25477272866056416	0.164837906757597	0.272482184049496	0.26231902580223954	0.1952178384763419	0.27778893494267415	0.21459478210464392	0.1105289102315394	0.2545414711675128	0.09225956828048329	0.08728144645637806	0.2775333345556174	0.2429055678329294	0.09790711968973714	0.021287860807726287	-0.061222378423592475	-0.08135395176606204	0.01483699389629408	0.0070716107085700254	-0.013461620384988722	0.15984761348648904	-0.0224076339319749	0.047432128969530786	0.3438555492733421	0.020046373213450656	0.25108478021874536	0.08300926855842955	0.04180892045428233	-0.028590729009347657	-0.15763241013199725	-0.10147335366152892	-0.015384709011415683	0.092393454197513	0.014179735758148158	-0.0976393478556777	0.10985948064639078	0.033714908197485315
NPP 8d VGPM (mgC/m2/day)	0.02622950819672131	0.2531814392886913	0.31380939149763826	0.17938316198944151	0.15376493470408448	0.06696304529035843	0.13937204779105308	-0.17588218949708254	-0.1748263406501806	-0.21389274798555155	-0.2197277021394832	-0.1640455682133926	-0.24273409280355654	-0.07424284523478744	0.05195887746596277	-0.13831619894415115	-0.4873020283412059	-0.22895248680188943	-0.3538760766879689	-0.2540150041678244	-0.12064462350652959	-0.20522367324256738	-0.2616838010558488	-0.1882745207001945	-0.2739094192831342	-0.48241178105029175	-0.1126424006668519	-0.24367879966657405	-0.3848291191997777	-0.15821061405946096	-0.221561544873576	-0.07968880244512365	-0.4026674076132259	-0.47524312308974714	-0.40094470686301753	-0.3812170047235343	-0.2694637399277577	-0.37893859405390384	-0.3712142261739372	-0.34581828285634897	-0.10714087246457349	-0.05290358432898027	0.24162267296471243	0.2756876910252848	0.05929424840233398	0.10219505418171715	0.07396499027507641	0.04390108363434287	0.44212281189219227	-0.06279522089469297	-0.13592664629063628	-0.0013892747985551543	-0.06824117810502918	-0.05907196443456516	0.1909974993053626	0.02917477076965824	0.11731036398999722	0.12481244790219505	-0.12747985551542096	0.05734926368435676	-0.11914420672409003	-0.1450402889691581	0.09141428174492915	-0.05006946373992776	-0.029952764656849123	-0.22261739372047792	-0.06412892470130592	-0.08791330925257015	-0.036454570714087246	0.17877188107807723	0.048513475965545984	0.21022506251736595	-0.011669908307863295	-0.044345651569880525	-0.02873020283412059	0.14192831342039455	-0.07363156432342317	0.08696860238955266	0.08719088635732147	0.14965268130036122	-0.18699638788552375	0.23939983328702416	0.10564045568213393	0.21417060294526258	-0.1503751041956099	-0.02145040288969158	0.12192275632120034	0.15593220338983052
CO3	-0.10631209818819404	0.09795441262419638	0.08275862068965517	-0.045528930450029224	-0.13495032144944477	-0.10847457627118644	-0.1315020455873758	-0.13834015195791935	-0.2191116306253653	-0.3815897136177674	-0.2992402104032729	-0.07901811805961426	-0.2772063120981882	0.002396259497369959	0.07030976037405026	0.03161893629456458	-0.3388661601402688	-0.29772063120981884	-0.3836937463471654	-0.5109292811221507	-0.2646990064289889	-0.24786674459380478	-0.3184102863822326	-0.1875511396843951	-0.3475745178258329	-0.30455873758036234	-0.13383985973115137	-0.2403272939801286	-0.28451198129748684	-0.19853886616014027	-0.29497369959088254	-0.18866160140268848	-0.36873173582700175	-0.2934541203974284	-0.3026300409117475	-0.32741087083576853	-0.2102863822326125	-0.1724137931034483	-0.24050263004091174	-0.19590882524839276	-0.13109292811221507	-0.20227936879018119	0.2288720046756283	0.34278199883109295	0.110812390414962	0.05990648743424898	0.06288720046756283	-0.02478082992402104	0.09742840444184687	-0.2217416715371128	-0.34278199883109295	-0.189187609585038	-0.19281122150789012	-0.10637054354178843	-0.15739333722969023	0.09953243717124488	-0.005552308591466978	-0.05686732904734074	0.005669199298655757	-0.05739333722969024	0.082583284628872	-0.008182349503214495	-0.28702513150204556	-0.036645236703682055	-0.11326709526592636	-0.2662770309760374	-0.02180011689070719	-0.017592051431911164	-0.010520163646990065	-0.09123319696084162	-0.07030976037405026	0.10210403272939801	-0.10508474576271186	-0.26428988895382816	0.07486849795441262	-0.03343074225599065	-0.09175920514319112	-0.13027469316189363	0.21969608416130917	0.09994155464640561	-0.13243717124488602	0.06218585622443016	0.001870251315020456	0.13500876680303917	-0.08141437755698422	0.012741087083576855	0.03495032144944477	0.06808883693746347
Mean Flux at 150m	-0.15122171945701357	0.3657918552036199	0.14660633484162897	-0.18316742081447965	-0.0648868778280543	-0.12271493212669683	0.0971945701357466	-0.1102262443438914	0.1216289592760181	-0.1523076923076923	-0.2918552036199095	-0.14461538461538462	-0.33737556561085974	-0.21619909502262444	-0.021447963800904978	-0.15981900452488687	-0.08597285067873303	-0.2023529411764706	-0.4532126696832579	-0.38497737556561085	-0.2534841628959276	-0.345972850678733	-0.11819004524886878	-0.2581900452488688	-0.31574660633484164	-0.4069683257918552	-0.21610859728506787	-0.34081447963800904	-0.3675113122171946	-0.30778280542986425	-0.22361990950226243	-0.16199095022624435	-0.46144796380090497	-0.3375565610859729	-0.27638009049773754	-0.4502262443438914	-0.37493212669683257	-0.36343891402714934	-0.44380090497737557	-0.18262443438914028	-0.12425339366515838	-0.30343891402714934	0.4167420814479638	0.2665158371040724	-0.07294117647058823	0.12452488687782805	-0.018642533936651582	0.060090497737556564	0.011221719457013574	-0.31402714932126696	-0.0432579185520362	0.0015384615384615385	-0.1295022624434389	0.2334841628959276	-0.034389140271493215	0.09221719457013575	-0.10669683257918552	-0.08389140271493213	-0.20995475113122172	-0.12334841628959275	-0.21665158371040724	-0.005972850678733032	0.053031674208144794	-0.14180995475113123	-0.061447963800904976	-0.18941176470588236	0.08570135746606335	0.17266968325791857	0.04723981900452489	-0.023167420814479638	0.07113122171945702	0.07294117647058823	0.018552036199095023	-0.15384615384615385	-0.067420814479638	0.10588235294117647	-0.04832579185520362	-0.037918552036199094	0.11285067873303167	0.028597285067873304	-0.17665158371040723	0.07493212669683258	0.13610859728506788	0.18244343891402715	-0.22570135746606335	0.031312217194570134	0.07176470588235294	0.08850678733031674
NO3	0.18726594775515829	0.2937886556990016	-0.06932893442433392	-0.06443245682935057	-0.2761483655554854	-0.27971533598891696	-0.1816560760734886	0.25098501049782257	0.21995236772696775	-0.11712633823231719	-0.04108501399234382	0.06602138002242464	0.08291584907531424	0.0984159569587715	-0.050326710115325655	-0.0325567119560483	0.008949853087519253	-0.21823373651813252	-0.2588971994592526	-0.2159638462423124	-0.19475658566536463	-0.25299548474212036	-0.47654724990645997	0.01342477963127888	-0.28762752495034705	-0.33879733716812016	-0.22757271365293522	-0.21881742258905768	-0.05976296826194922	-0.19991247929187028	-0.24339709157579534	-0.08891484480426737	-0.26366396903847483	-0.06495128889239517	-0.09656761773417513	-0.20088528941007888	-0.28873004308431677	-0.45034623072270796	-0.42806887901573065	-0.1622647277171969	-0.1885306009088295	-0.5349482840029172	0.5956516353791347	0.06903709138887135	0.06271382562051535	0.31784949262269463	0.05499619868272701	-0.08619097647328325	-0.2203090647703109	-0.21855800655753538	-0.016797188041068743	-0.11631566313381	-0.1407980511087268	-0.0860612684575221	0.04238209414995531	0.1859364405936065	0.062065285541709606	0.008041896977191213	0.025001220037961392	0.07497123310994389	-0.12448726812676236	0.03502116425551012	-0.13862544184472755	-0.22293565208947416	0.1882387578733669	0.06624836905000665	0.11359179480282589	0.04335490426816392	-0.11317024375160216	-0.1764029014351621	-0.07120970065287058	0.03524815328309213	0.10000488015184557	-0.11291082772007986	0.09601635866719026	0.21583413822655126	0.1380093287698621	0.005447736661968241	-0.17439242719086429	-0.03635067141706189	-0.019553483375993153	-0.18460693343205475	-0.21236444880494054	0.03093536175903394	0.21969295169544545	-0.23026415497997904	-0.15535777587791574	-0.008139177989012075
